sample_ID_full,input,filtered,denoised,merged,nonchimeric
tLIMS14462l1s248I092BS2,130971,103694,103694,102943,98846
tLIMS14462l1s249I092BS3,113659,90494,90494,89938,84672
tLIMS14462l1s24I042BS2,128495,104866,104866,103967,90003
tLIMS14462l1s250I092BS5,165546,132512,132512,131061,117516
tLIMS14462l1s251I093BS1,515429,403227,403227,397880,303127
tLIMS14462l1s252I093MS1,189002,146180,146180,137246,103444
tLIMS14462l1s253I093BS1,329269,260537,260537,257459,208142
tLIMS14462l1s254I093BS2,95676,76986,76986,76387,71654
tLIMS14462l1s255I093BS3,120501,96507,96507,95904,89521
tLIMS14462l1s256I093BS5,105090,83567,83567,82786,76659
tLIMS14462l1s257I094MS1,167958,131372,131372,124835,95168
tLIMS14462l1s258I094BS1,108338,87727,87727,87595,84186
tLIMS14462l1s259I094BS2,196372,158648,158648,158635,158632
tLIMS14462l1s25I043BS2,151147,119311,119311,118546,111136
tLIMS14462l1s260I094BS3,124691,99589,99589,99382,96717
tLIMS14462l1s261I094BS5,138202,112002,112002,110894,93862
tLIMS14462l1s262I094BS5,117762,95498,95498,94922,84525
tLIMS14462l1s263I095BS1,158612,124732,124732,123387,113371
tLIMS14462l1s264I095MS1,140110,109874,109874,104933,84135
tLIMS14462l1s265I095BS2,136312,110145,110145,109575,103618
tLIMS14462l1s266I095BS3,309836,247012,247012,245984,223048
tLIMS14462l1s267I095BS5,104609,83988,83988,83796,80973
tLIMS14462l1s268I096BS1,167506,136585,136585,135944,121566
tLIMS14462l1s269I096MS1,184548,146302,146302,141657,111315
tLIMS14462l1s26I043BS3,166921,133610,133610,133054,126985
tLIMS14462l1s270I096BS2,101455,82062,82062,81383,70438
tLIMS14462l1s271I096BS3,121468,97884,97884,97366,87856
tLIMS14462l1s272I096BS5,114360,93827,93827,93500,86148
tLIMS14462l1s273I077toI096MCctrl,135521,111016,111016,109148,87936
tLIMS14462l1s274I077toI096MCQiactrl,726847,591666,591666,591294,590383
tLIMS14462l1s275I077toI096MSctrl,110327,83821,83821,83671,83579
tLIMS14462l1s276I077toI096BSctrl,101855,84562,84562,84198,81846
tLIMS14462l1s277I077toI096WCSctrl,62275,50801,50801,50622,48542
tLIMS14462l1s278carryover,119,29,29,19,19
tLIMS14462l1s279carryover,93,21,21,21,21
tLIMS14462l1s27I043BS5,197699,154572,154572,154012,143821
tLIMS14462l1s280carryover,189,42,42,31,31
tLIMS14462l1s281I077toI096PCRctrl,118,31,31,26,26
tLIMS14462l1s282I058BS1,172498,138929,138929,135648,105845
tLIMS14462l1s283I058MS1,163786,129965,129965,124547,92171
tLIMS14462l1s284I058BS2,175183,143081,143081,139846,104715
tLIMS14462l1s285I058BS3,125467,102446,102446,101960,101122
tLIMS14462l1s286I058BS5,217620,174429,174429,171378,136290
tLIMS14462l1s287I059MS1,168809,131627,131627,125504,103862
tLIMS14462l1s288I059BS1,163668,128561,128561,125609,98433
tLIMS14462l1s289I059BS2,128543,102865,102865,101401,88427
