"","mean","sd","crossval_median","crossval_q1","crossval_q3","module"
"Clostridioides2",0.0130204817880133,0.0376621881286254,0.5,0.363636363636364,0.6,"module4_unexposed"
"type_house2",0.0128523766602382,0.0274049936771544,0.5,0.363636363636364,0.6,"module4_unexposed"
"kitchen2",0.0122825629694817,0.0240903476285152,0.5,0.363636363636364,0.6,"module4_unexposed"
"Slackia2",0.0120937089073582,0.0342375480493526,0.5,0.363636363636364,0.6,"module4_unexposed"
"breastfed_child2",0.0116758770438735,0.0273011250405128,0.5,0.363636363636364,0.6,"module4_unexposed"
"Blautia2",0.00895829275175179,0.0220080507422652,0.5,0.363636363636364,0.6,"module4_unexposed"
"Flavonifractor2",0.00892709509049441,0.0197181546829852,0.5,0.363636363636364,0.6,"module4_unexposed"
"Holdemanella2",0.00855361147572852,0.0208039596122379,0.5,0.363636363636364,0.6,"module4_unexposed"
"Dialister2",0.00783549701690244,0.0174118460479141,0.5,0.363636363636364,0.6,"module4_unexposed"
"Erysipelatoclostridium2",0.00782856863713922,0.0204352714483594,0.5,0.363636363636364,0.6,"module4_unexposed"
"Raoultella2",0.00647662300927811,0.0136933624805001,0.5,0.363636363636364,0.6,"module4_unexposed"
"Megamonas2",0.00587253605230953,0.0153665289941623,0.5,0.363636363636364,0.6,"module4_unexposed"
"Ezakiella2",0.00573872507374741,0.0127693239217735,0.5,0.363636363636364,0.6,"module4_unexposed"
"Olsenella2",0.00486858081171593,0.0133523063846759,0.5,0.363636363636364,0.6,"module4_unexposed"
"Cronobacter2",0.00428434337484413,0.011306155138497,0.5,0.363636363636364,0.6,"module4_unexposed"
"Catenibacterium2",0.00144097898277151,0.0043697676720518,0.5,0.363636363636364,0.6,"module4_unexposed"
"pre_exposed2",0,0,0.5,0.363636363636364,0.6,"module4_unexposed"
