"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"t351679","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Morganellaceae","Xenorhabdus","Xenorhabdus hominickii"
"t217","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Helicobacteraceae","Helicobacter","Helicobacter mustelae"
"t2675794","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Shimwellia","Shimwellia Enterobacteriaceae endosymbiont of Plateumaris consimilis"
"t1164","Bacteria","Cyanobacteria","","Nostocales","Nostocaceae","Trichormus","Trichormus azollae"
"t1051675","Viruses","Uroviricota","Caudoviricetes","Caudovirales","Podoviridae",""," Erwinia phage vB_EamP-S6"
"t2071627","Bacteria","Actinobacteria","Actinomycetia","Micromonosporales","Micromonosporaceae","Plantactinospora","Plantactinospora sp. BB1"
"t2814294","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Shewanellaceae","Shewanella","Shewanella sp. FJAT-51800"
"t28184","Bacteria","Spirochaetes","Spirochaetia","Leptospirales","Leptospiraceae","Leptospira","Leptospira weilii"
"t2585717","Bacteria","Actinobacteria","Actinomycetia","Micrococcales","Microbacteriaceae","Agromyces","Agromyces laixinhei"
"t146939","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Azospira","Azospira oryzae"
"t2840456","Bacteria","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Brucellaceae","Brucella","Brucella sp. BTU1"
"t1727196","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylococcaceae","Methylomonas","Methylomonas sp. DH-1"
"t2840469","Bacteria","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Bradyrhizobiaceae","Bradyrhizobium","Bradyrhizobium sp. S2-20-1"
"t81479","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Rhodoferax","Rhodoferax antarcticus"
"t12348","Viruses","Uroviricota","Caudoviricetes","Caudovirales","Siphoviridae",""," Lactobacillus phage LL-H"
"t6035","Eukaryota","Microsporidia","","","Unikaryonidae","Encephalitozoon","Encephalitozoon cuniculi"
"t2730847","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas sp. ADAK13"
"t10690","Viruses","Uroviricota","Caudoviricetes","Caudovirales","Myoviridae","Hpunavirus","Hpunavirus Haemophilus virus HP1"
"t1165908","Viruses","Preplasmiviricota","Tectiliviricetes","Rowavirales","Adenoviridae","Mastadenovirus","Mastadenovirus Simian adenovirus B"
"t2808899","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Janthinobacterium","Janthinobacterium sp. PLB02"
"t173860","Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","Streptomyces rectiverticillatus"
"t1442556","Bacteria","Cyanobacteria","","Synechococcales","Synechococcaceae","Synechococcus","Synechococcus sp. PROS-7-1"
"t1536648","Bacteria","Chloroflexi","Dehalococcoidia","","","Dehalogenimonas","Dehalogenimonas sp. GP"
"t1980943","Viruses","Uroviricota","Caudoviricetes","Caudovirales","Myoviridae","Muvirus","Muvirus Shigella virus SfMu"
"t2267253","Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Piscirickettsiaceae","Thiomicrorhabdus","Thiomicrorhabdus indica"
"t1288970","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Thalassospiraceae","Magnetospira","Magnetospira sp. QH-2"
"t1201031","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Pectobacteriaceae","Pectobacterium","Pectobacterium aroidearum"
"t1331258","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Bordetella","Bordetella pseudohinzii"
