"","taxonomy","prev_I","p_I","prev_M","p_M","prev_U","p_U","pmin","contaminant"
"Xc6da490b249d5d89af322503daac81d9","Prevotella_9 (RSV138)",6,NA,44,0.839962277399256,0,NA,0.839962277399256,FALSE
"X160f59b8faeb72b39cf724fab5055cf2","Megasphaera (RSV139)",2,NA,2,NA,3,NA,NA,FALSE
"Xd6bff94349f93df9c98368bfbc740ed0","unassigned Firmicutes (RSV140)",0,NA,1,NA,4,NA,NA,FALSE
"X3940a350430d910b62071c816ed954a6","Veillonella (RSV141)",44,0.80757102450117,16,0.711756741871059,0,NA,0.711756741871059,FALSE
"X987f877fe75dfe03c02d087e633c215a","Libanicoccus (RSV142)",16,0.937232626581914,26,0.992020106988734,0,NA,0.937232626581914,FALSE
"Xd6793536f54111ecbf88f606364d4298","Enterococcus (RSV143)",15,0.507101595036837,0,NA,2,NA,0.507101595036837,FALSE
"Xc6ca06086c59d470f5765e0d7684ac70","Veillonella (RSV144)",8,NA,16,0.749529135819847,1,NA,0.749529135819847,FALSE
"X0aa6767415c3c1d08d147c80b16ec596","Acinetobacter (RSV145)",306,0.999999999999986,69,0.999999896369504,36,0.999999966842056,0.999999896369504,FALSE
"Xce0837f50ab0a7abc73bddc82e8b55e6","Bacteroides (RSV146)",3,NA,11,0.978173929041279,1,NA,0.978173929041279,FALSE
"X9243bc95f3bb4eba8fabc522fa335a7f","Bacteroides (RSV147)",1,NA,18,0.740596151149592,0,NA,0.740596151149592,FALSE
"Xbf37c87f8841a9f1a2cd20db4fa18b74","Ruminococcaceae_UCG-002 (RSV148)",17,0.99828636164748,31,0.965125110302437,2,NA,0.965125110302437,FALSE
"X73b9a313c153726841a55e295f19bdb5","Streptococcus (RSV149)",118,0.993732789378521,50,0.703934815969367,25,0.998148152241158,0.703934815969367,FALSE
"Xc49cc7c2c45bd7a87913453e515ea14f","Acinetobacter (RSV150)",215,0.999999493585928,24,0.576063730009347,23,0.999701337486267,0.576063730009347,FALSE
"X98c60003caac4798b6e9a0da3102d2dd","Streptococcus (RSV151)",71,0.999970463324238,23,0.651625271406499,31,0.999999901752237,0.651625271406499,FALSE
"X66e2f8699b50c5be581d21573b440ec3","Bacillus (RSV152)",105,0.999999368688378,0,NA,0,NA,0.999999368688378,FALSE
"Xd9a8133c1c0cba024826069eac5bbf00","Acinetobacter (RSV153)",341,0.999999998941842,24,0.765701277292786,3,NA,0.765701277292786,FALSE
"Xb0fc98e5c8f11484c2b2f6114d8a78de","Dermacoccus (RSV154)",168,0.999999928988905,33,0.896895644542329,40,0.999999997718305,0.896895644542329,FALSE
"X876ed260be5f69590ce1242534b48054","Staphylococcus (RSV155)",121,0.993808773460046,28,0.858041169730068,22,0.999998856921243,0.858041169730068,FALSE
"Xb5f7888432623a0d4f4f1a1478a35d3e","Corynebacterium_1 (RSV156)",357,0.999999999999998,7,NA,0,NA,0.999999999999998,FALSE
"X7e537c12b9af4d0e06d9c229f25d2176","Delftia (RSV157)",76,0.963806198410879,0,NA,9,NA,0.963806198410879,FALSE
"X1fbb6683c9c6aaa6ce2687a4ad76c639","Megasphaera (RSV158)",1,NA,1,NA,2,NA,NA,FALSE
"Xad89a9d5fec4408fafb73e7225f44d08","Dorea (RSV160)",60,0.999999253164025,49,0.957061898949411,3,NA,0.957061898949411,FALSE
"Xec5ee1d9ae158630c2b037f07fdc0a69","Lactobacillus (RSV161)",33,0.999929273355128,6,NA,4,NA,0.999929273355128,FALSE
"X8d83490106a0b4ac9bae742775c3cb6c","Parabacteroides (RSV162)",0,NA,15,0.60677588932721,1,NA,0.60677588932721,FALSE
"X05ff70fc32e00ff5fdafbc54f491b273","Veillonella (RSV163)",4,NA,1,NA,1,NA,NA,FALSE
"X5b6367adcf3124df5f04f4d3623837b9","Bacteroides (RSV164)",3,NA,13,0.644283415198018,0,NA,0.644283415198018,FALSE
"Xe0d1e3fa2e10e95e235a220259e73b2c","Veillonella (RSV165)",14,0.960606025149337,4,NA,1,NA,0.960606025149337,FALSE
"X719852b30b6cf6748f52cf99407e1e35","Prevotella_9 (RSV166)",14,0.999913388689177,36,0.661468690605653,0,NA,0.661468690605653,FALSE
"Xa9d3f0bd5ca203b5354a332eca91a33c","Klebsiella (RSV167)",20,0.998589130218348,3,NA,0,NA,0.998589130218348,FALSE
"X8255b7ef9cac433fca7b7dbf2b61402e","Bacteroides (RSV168)",8,NA,2,NA,2,NA,NA,FALSE
"Xe5225d9ad60cd54861511a228f4809fd","Parabacteroides (RSV169)",2,NA,6,NA,3,NA,NA,FALSE
"X3928a2f4cdc892e498e0de5dae6875a9","Lactobacillus (RSV170)",36,0.93541763020038,7,NA,1,NA,0.93541763020038,FALSE
"Xca60f9527111263bca48622331f2b3f6","Alistipes (RSV171)",1,NA,6,NA,2,NA,NA,FALSE
"X630860d80a9dc35ed55113eeb8a3e761","Paracoccus (RSV172)",325,0.999965894144357,88,0.999304487383865,8,NA,0.999304487383865,FALSE
"Xdd68c7b3d6b665f362d388f2f1be6663","Granulicatella (RSV173)",133,0.998016047285205,66,0.699291734674578,29,0.999999793674695,0.699291734674578,FALSE
"Xe5a506b03788d5b4e0ea3e4bc6664ce8","Bifidobacterium (RSV174)",105,0.999999972033021,26,0.998837756220319,3,NA,0.998837756220319,FALSE
"Xdf1ae7fd3a039b102a1b3f3bd17c00b7","Staphylococcus (RSV175)",102,0.999999999999407,15,0.918013574205446,5,NA,0.918013574205446,FALSE
