"","feature_id","feature","feature.description","feature_full","Feature","mean","sd","prev","mean_IND","sd_IND","prev_IND","mean_MLW","sd_MLW","prev_MLW"
"1189","g2068","4.3.3.7","4-hydroxy-tetrahydrodipicolinate synthase","4-hydroxy-tetrahydrodipicolinate_synthase_(4.3.3.7)","4-hydroxy-tetrahydrodipicolinate_synthase_(4.3.3.7)",0.024662,0.009019,100,0.02586,0.00905,100,0.018817,0.006169,100
"290","g1259","2.8.1.7","Cysteine desulfurase","Cysteine_desulfurase_(2.8.1.7)","Cysteine_desulfurase_(2.8.1.7)",0.024646,0.006688,100,0.024578,0.006738,100,0.024978,0.006483,100
"1393","g2251","6.1.1.16","Cysteine--tRNA ligase","Cysteine--tRNA_ligase_(6.1.1.16)","Cysteine--tRNA_ligase_(6.1.1.16)",0.024643,0.0045,100,0.024946,0.004203,100,0.023166,0.005541,100
"250","g1222","2.7.7.8","Polyribonucleotide nucleotidyltransferase","Polyribonucleotide_nucleotidyltransferase_(2.7.7.8)","Polyribonucleotide_nucleotidyltransferase_(2.7.7.8)",0.024615,0.005105,100,0.025227,0.004785,100,0.021631,0.005589,100
"177","g1157","2.7.4.3","Adenylate kinase","Adenylate_kinase_(2.7.4.3)","Adenylate_kinase_(2.7.4.3)",0.024606,0.006064,100,0.025296,0.005536,100,0.021238,0.007333,100
"1065","g1957","4.2.1.11","Phosphopyruvate hydratase","Phosphopyruvate_hydratase_(4.2.1.11)","Phosphopyruvate_hydratase_(4.2.1.11)",0.024542,0.005466,100,0.024751,0.004716,100,0.02352,0.008182,100
"207","g1184","2.7.7.3","Pantetheine-phosphate adenylyltransferase","Pantetheine-phosphate_adenylyltransferase_(2.7.7.3)","Pantetheine-phosphate_adenylyltransferase_(2.7.7.3)",0.024498,0.006543,100,0.025134,0.006179,100,0.021397,0.007394,100
"538","g1482","3.2.1.52","Beta-N-acetylhexosaminidase","Beta-N-acetylhexosaminidase_(3.2.1.52)","Beta-N-acetylhexosaminidase_(3.2.1.52)",0.024414,0.012711,100,0.024704,0.012745,100,0.023,0.012555,100
"2298","g918","2.4.2.9","Uracil phosphoribosyltransferase","Uracil_phosphoribosyltransferase_(2.4.2.9)","Uracil_phosphoribosyltransferase_(2.4.2.9)",0.024408,0.009802,100,0.024843,0.008233,100,0.022282,0.015239,100
"2342","g958","2.5.1.6","Methionine adenosyltransferase","Methionine_adenosyltransferase_(2.5.1.6)","Methionine_adenosyltransferase_(2.5.1.6)",0.024369,0.004626,100,0.024676,0.004242,100,0.022869,0.005988,100
"951","g1854","4.1.1.31","Phosphoenolpyruvate carboxylase","Phosphoenolpyruvate_carboxylase_(4.1.1.31)","Phosphoenolpyruvate_carboxylase_(4.1.1.31)",0.024368,0.008697,100,0.025404,0.008078,100,0.019314,0.009852,100
"2367","g980","2.6.1.16","Glutamine--fructose-6-phosphate transaminase (isomerizing)","Glutamine--fructose-6-phosphate_transaminase_(isomerizing)_(2.6.1.16)","Glutamine--fructose-6-phosphate_transaminase_(isomerizing)_(2.6.1.16)",0.024337,0.005856,100,0.024728,0.005455,100,0.022428,0.007268,100
